Requirement_Number,Description
3.2.7.27,"It must be possible to administer ?pseudo names? (locally well-known names for a specific location) for points of interest (POI), characteristic points, town parts, buildings, road junctions, path sections and names of persons, land names, etc."
3.2.7.28,"In the course of an alarming, it must be checked whether any other unit than the responsible one is located better geographically, so that the journey time can be reduced. The check should also include units that do not appear in the alarming proposal."
3.2.7.29,It must be possible for the users to create separate layers with specific information or with linked information from the basic layers. The number of additional layers must not be limited.
3.2.7.30,Any newly created layer must be able to be distributed to all workplaces through the system.
3.2.7.31,A proposal for the route to the incident location shall be determined by the GIS. This shall be able to be printed out in a simple way and exported into graphic format.
3.2.7.32,"It must be possible to send the determined incident location to the responsible organization or unit by operations printer, e-mail, SMS and must be considered as measure in the alarming plan."
3.2.7.33,"The geographic data of the streets and motorways in the State of Palestine are characterized by permissions and restrictions of different levels (A, B, C zones), that allow or deny transit to any vehicle, or require special authorizations to be presented at passage. (sector and/or time depending) The proposed GIS software must include a mechanism that takes in consideration this characteristic of the street database, when calculating the best route for vehicles to be dispatched during an incident and present to the dispatcher not only the shortest path, but also the clearest path (i.e. the path with less restrictions). As a consequence, for each dispatch, the incident management must be able to create the proper procedure to generate the permission request (or requests) corresponding to the path calculated. These procedures to generate permissions might imply printing of documents, making phone calls, e-mail, etc.."
3.2.7.34,It must be possible to display a situation report for the entire region or for the individual operational areas at any time from the information of the incident management application and the data in the GIS.
3.2.7.35,A filter and authorized based situation report must furthermore show the entire operational situation with all ongoing operations and associated units as well as enable the selection of a specific incident and the operational forces involved thereby.
3.2.7.36,"Map surfing (shifting, zooming, etc.) must be simple and intuitive, similar to over-the-top map viewers such as Google Maps, Bing Maps, etc."
3.2.8.1,"The PSO responsible for the incident and/or also the nearest response team must be determined on the basis of the geographical allocation of the incident location. This proposal must be able to be changed by the coordinator, where applicable."
3.2.8.2,"The following features already required for the incident creation application, are also required for the incident management application: o access to ERC/PSO operating procedures o measure lists o assisted data input o scheduled incidents o incident location extra documentation (attachments)"
3.2.8.3,"The incident management application must provide the possibility for multiple coordinators to work on the same incident, in particular it must be possible for more than one coordinator to work on incident coordination activities"
3.2.8.4,It must be possible to assign the incident to multiple PSO if the incident code is proposing to do so or if manually set.
3.2.8.5,"Generation of a coordination proposal on the basis of the incident code, alarm level, incident location and responsible PSO /PSOs must be performed. The coordination proposal must be based on the alarming plans available and/or stored in the incident creation application. Both regional as well as object alarm plans must be supported."
3.2.8.6,"In addition to the direct involved PSOs, at least the following elements must be supported in the coordination proposal as incident resources: - other organizations (e.g. utilities, water rescue service, mountain rescue service, etc. - individual vehicles, - individual persons, - groups of persons, - special equipment or special incident resources"
3.2.8.7,"At least the following elements must be executable in the coordination proposal as measures: - SMS send, - SDS send, - telephone calls and radio calls, - sending of structured e-mails"
3.2.8.8,"The coordination proposal must be able to be adjusted by the coordinator, where applicable (removal of individual incident resources or supporting measures, addition of other incident resources or supporting measures, discard of complete proposal)."
3.2.8.9,"The individual generation of a coordination proposal by the coordinator shall be possible. For this purpose, it must be possible to conduct at least the following searches: - information about access ways - search for neighboring incident organization - search in the equipment (e.g. vehicles, equipment, special equipment items, etc.) - search by persons (e.g. fire brigade, other support organizations, administration, army, etc.) - important addresses (e.g. fire brigades, rescue stations, hospitals, district administrations, etc.) - locations of special operational resources (e.g. salvaging shears, crane, etc.)"
3.2.8.10,"It must be possible to use the search results directly in order to implement alarming or to call a telephone number. If needed, for example, it must be possible to add the operating utility directly to an incident."
3.2.8.11,"The coordination proposal shall ake the availability of special incident resources (e.g. special vehicles, special equipment at fire brigades, request of a helicopter, etc.) under national responsibility into account."
3.2.8.12,Both a work-off of the coordination proposal in single steps by the coordinator as well an automatic work-off of the entire proposal at a start of the coordination must be possible during alarming.
3.2.8.13,"An interruption of an ongoing alarming by e.g. a more important incident in terms of operational tactics should be possible. After completed alarming for the stopped incident, the interrupted incident should be able to be continued on request."
3.2.8.14,It must be possible to cancel an ongoing alarming manually at any time after a safety prompt by the system.
3.2.8.15,Pre-scheduled incidents must appear on the coordinator screen a certain amount of time in advance with respect of their schedule. Once a scheduled incident is on screen the coordinator must be entitled to manage it
3.2.8.16,"The proposed incident application must warn coordinators with an audible and visible alarm whenever predefined (configurable) thresholds have been exceeded in relation to the incident management (e.g. the incident has not reached the ""coordination"" status within a predetermined time)"
3.2.8.17,"A watchdog must exist for the call-out of an alarmed incident of any part of the PSO / resource. If a specific time period is exceeded without feedback, a message must be displayed by the incident management system for the coordinator."
3.2.8.18,"PSO alarmed or called out already must be identified as such, if another alarming is required in the course of a new incident. The identification must possible to reach up to the level of operational resources (e.g. called out vehicles, special equipment)."
3.2.8.19,"When the alarming is implemented, the most important alarming details must be sent to the affected responding organizations or individual persons from the PSO. At least the following must be considered: - incident location, - incident code, - alarm level, - caller information (e.g. name, address, telephone number), - additional information (e.g. information regarding access), - other information regarding the target object (e.g. special hazards, exposition of harmful substances, precautions)."
3.2.8.20,"At least the following elements must be definable in the alarming as automatic executed message with the before named data: - SMS send, - SDS send, - sending of structured e-mails"
3.2.8.21,The incident location and the ERC/PSOs or resources allocated to the incident as well as vehicles and equipment must be marked in the incident creation application as being in operation and displayed in the GIS accordingly as logically belonging together (e.g. incident number).
3.2.8.22,"With the successful alarming of an incident, it must be identified in the incident overview as an ongoing incident."
3.2.8.23,"If necessary, it must be possible to raise an alarm level for an incident with subsequent re- alarming. Thereby, the additional incident resources or measures required in accordance with the stored alarming plan must be displayed and worked off in analogy to an initial alarming."
3.2.8.24,Multiple alarming of PSO Locations or incident resources already in operation within the course of any re-alarming must be checked and an appropriate information issued to the call center agent and /or coordinator where applicable.
3.2.8.25,An incident marked as ongoing must be able to be amended by comments or additional information by the coordinator at any time based on feedback by the operational forces on site.
3.2.8.26,"It must be possible to allocate an incident journal to every incident, in which the actions and measures taken by the coordination agent during the relevant incident are recorded chronologically (operationally-related part of the logging). The incident journal must be able to be supplemented by manual entries and notes. A manual link with calls and radio conversations related to this operation as well as a link to the voice recording must be possible."
3.2.8.27,The incident journal must contain filter function per PSO and deliver a chronological closed numbering schema for each PSO.
3.2.8.28,It must be possible to cancel operations in a simple way if the alarmed unit/PSO is not available. An appropriate remark must be able to be added in the logging and the incident must be ready for new proposal.
3.2.8.29,"The incident management application must be provided with object-related, locality-related and time-related search functions. At least the following search functions must be able to be called in: - search by persons (names, addresses, reach abilities), - search by PSO, - search by vehicles, - search by operational resources, - search by operation number, - search by operations where specific operational resources were used, - time-based search (time period since a specific point in time), - location-based search."
3.2.8.30,"It must be possible to log, keep and update the status messages for operational resources in incident processing. This relates in particular to the following operational resources: - operational organizations - vehicles - special equipment or special operational resources - persons"
3.2.8.31,"The status messages are processed manually by the coordinator. However, the incident management application must include an automated analysis and update of the status messages for the later introduction of a status reporting system."
3.2.8.32,Access to all stored contact data and reachabilities in the system must be possible in the course of operation processing. The initiation of telephone and radio calls from the incident management application must be possible.
3.2.8.33,"It must be possible to display files with additional information for the coordination agent (e.g. PDF and text documents, contents of a dangerous goods database, etc.) in the course of incident processing. For this purpose, a function for the automatic start of external applications incl. the handover of command line parameters (e.g. file location or web URL) must be implemented in the incident management application."
3.2.8.34,"The incident management application must allow an incident record closure only if predetermined conditions have been met, in particular: - all resources have communicated their return to the station - an incident coordination has been appended to the incident"
3.2.8.35,"After the entry of all return reports, the incident management application must conclude the incident automatically and issue a relevant message to the coordination agent. The manual closure of an incident (also in the case of incomplete return reports) must be possible and it must be possible to add a relevant remark."
3.2.8.36,"All actions and processes in the course of the acceptance of an incident, coordination, alarming and operation processing (e.g. reception of emergency call, creation of incident, all operationally relevant actions, status changes, alarming, re-alarming, etc.) must be recorded with a time stamp (consisting of the date and time), the associated user, as well as the relevant workplace under the observation of data-protection-relevant standards."
3.2.8.37,The operational log must be prepared automatically by the incident management application
3.2.8.38,The records must not get lost in the event of system failures. A retrospective change of recorded data must be made impossible.
3.2.8.39,"Retrospective logging of incidents must be possible, in order to enter incidents into the system retrospectively that could not be recorded immediately. It must be possible to amend incomplete entries with a reference to retrospective completion."
3.2.8.40,The logging must be performed centrally within the system. It must be possible to process log entries beyond day limits. Temporary log entries or files (for queuing or caching) must be removed from the hard disk after a configurable time period and a completed archiving.
3.2.8.41,"The log data must be held in the system for a period of 2 years, in order to enable a quick access to data from this time period in the case of need."
3.2.8.42,A search in the log for e.g. incomplete operational data or the time sequence of operations with a change of operation processing should be possible.
3.2.8.43,A simple administrative option (time or occasion- related search and analysis function) of the log should be provided for any query or reconstruction of operations at a later stage
3.2.8.44,"A printout of the logging data must also be provided on request, either in incremental form (related to all new data sets since the last printout) or all data sets within a specific period of time selectable by the user."
3.2.8.45,An export of the log or the search results in a data format that is readable for an office program for takeover and further processing must be provided.
3.2.8.46,The recordings of the voice documentation allocated to an operation should be able to be retrieved through the incident management application
3.2.8.47,The loggings of the incident management application in conjunction with the operationally-related voice recording of the NG- 911 communication system must result in a full documentation of all operationally-relevant activities of the emergency operations center.
3.2.9.1,The Application must support at least Google Android and Apple iOS operative systems
3.2.9.2,There must be no license-limitations on the number of installations respective active applications
3.2.9.3,"The Supplier must provide a Mobile Device Management (MDM) platform software, for the remote management of tablets linked to the ERC"
3.2.9.4,"It must be able to store data locally, in cases of loss of 3G/4G/Wi-Fi connection"
3.2.9.5,It must be associated with a vehicle using the vehicle's identification number
3.2.9.6,"It must allow user access via username, password and vehicle code"
3.2.9.7,"It must be able to receive incident information via push notification, with minimum - location of the incident - motivation of the incident - information about the caller - any note taken at the dispatching center in the given incident"
3.2.9.8,It must be able to navigate the vehicle where the tablet is installed using the vehicle's GPS coordinates and the incident destination address
3.2.9.9,It must be able to add notes to the incident form received by the dispatching center and send back the added information to the Dispatching center as enrichment of the incident data.
3.2.9.10,"It must be able to send dispatch status advancement reports via encoded statuses. - Encoded statuses must correspond to what is currently available in the existing incident management software - Encoded statuses must be configurable, using the master configurator interface of the current existing incident management software - Encoded statuses must be represented by a graphical icon and a text line describing the status that is being sent to the current existing incident management software - Encoded statuses must be sent in real time, with the appropriate time stamp. In case of loss of 3G/4G/Wi-Fi connection, the status message must be stored temporarily on the device, to be sent when the connection is re established, but maintaining the correct time-stamp of origin"
3.2.9.11,It must be able to capture pictures and videos to be attached to the incident and send them to the existing incident management software
3.2.9.12,"It must include a list of cases managed by the vehicle where the tablet is installed, with their current status, for at least the last 24 hours of service"
3.2.9.13,"It must include a customizable template for reports. The template has to have at least the following features: [*] It must be editable by the tablet user, using fields such as: - Radio buttons - Check buttons - Drop-down menus - Free text boxes - Speech-to-text functionality for free text boxes - Custom reports such as colored fields, etc. [*] It must correspond to the original paper reports, structured in editable fields - Each currently used reporting will be analyzed by the Supplier and be transported digitally, using the template inside the tablet app - The digitalized report must be attached to the incident and sent to the existing incident management software - The digitalized report must be in PDF format, and printable on any printer"
3.2.9.14,"It must include a chat functionality to allow the vehicle crew members to chat with the Dispatching center, through the existing incident management software and with other crew members from other vehicles, associated to the same incident."
3.2.10.1,"The software must have a quality control (audit) function that allows evaluation of the incident information according to the set criteria, both before the incident is closed and when the incident is closed."
3.2.10.2,The quality control (audit) function (completed forms) shall not affect (e.g. change or delete) the information and timestamps recorded on the incident.
3.2.10.3,"The quality control (audit) function shall be able to be performed at shift level (e.g. shift manager), unit level (e.g.E-1Ma unit manager or authorized employee) and centrally (e.g. quality control unit employee)."
3.2.10.4,"The quality control (audit) function shall be able to process the data at least from the following sources: * call history data * incident creation data (incident classification, incident location, caller location) * assistance history * appropriateness of incident data (rate of proper incident classification, incident modification history)"
3.2.10.5,"The quality control (audit) function shall be able to provide report at least about the following levels: * general (full ERC) quality / performance report * group quality / performance report (based on selected group characteristics, e.g. site, skill or language, shift etc.) * individual quality / performance report per user * process appropriateness report (e.g. the ration of modified incidents by coordinator vs. completed incidents)"
3.2.10.6,"The reporting tool itself can be combined with the tool supporting the monitoring and alarm handling function (item 3.4.1), but its inputs, algorithms, functions, report formats, presentation mode shall be separately configurable for system monitoring and quality management purposes."
3.3.1.1,The incident creation and management application must use a Data base management System (DBMS) which is centrally located on the to be provided servers.
3.3.1.2,With the DBMS sufficient licensing to support all functions and applications provided within this Service must be included. The licensing must also cover any upgrade/update free of charge of the DBMS when required for the operation of the provided software. Software assurance control must be provided.
3.3.1.3,The incident creation and management DBMS has to support all functions as specified under 1.2.6 and 1.2.8
3.3.1.4,The DBMS must ensure that a malfunction of any component of the hardware will not result in a malfunction of the DBMS and will not cause a malfunction of the software nor the need for users to re-connect to the software.
3.3.1.5,The DBMS architecture must ensure that the second data-center contains a secondary DBMS that operates analogously and parallel manner to the host and has all the relevant software information provided by asynchronous replication. Information replication delay in the absence of network failures shall not exceed 1 minute. The software shall use the primary DBMS in normal mode and only automatically breaks down to use the secondary DBMS if it fails.
3.3.1.6,"The type of DBMS must be licensed to support the under 1.3.1.6 described functions, e.g. offering full capability of clustering and replication (e.g. enterprise version)"
3.3.1.7,DBMS must ensure a remote backup DB (DB snapshots) which provides storage of at least 7 days of DB copies.
3.3.2.1,"The GIS shall use different offline as well as online data sources (open street maps, google, as well as customer provided datasets)"
3.3.2.2,"The GIS System must be installed in a redundant way, following the failover/redundancy concept so that a failure in one server site does not affect the overall availably of GIS related functions. ."
3.3.2.14,GIS file formats must be readable from other GIS systems in order to perform conversions between different formats.
3.3.2.15,Geographic information and information management must comply to ISO TC211 and recommended CEN TC287 standards.
3.3.2.16,"The GIS system must offer the basic data layers including projection, scale, accuracy, and resolution."
3.3.2.17,Real time mapping of geospatial data must be enabled in order to offer the best understanding of the geographic patterns.
3.3.5.3,The solution shall be available for 2 concurrent users
3.3.5.4,The access authority system shall support different user categories that can be allocated to individual users and based on which it is defined what functionalities can be inspected and/or changed by certain users.
3.3.5.5,At least the following user categories shall be possible: * system engineer * quality analyst * quality manager * supervisor
3.3.5.6,The solution must be operable through menus and menu structures. Command line entries for operation of the abovementioned functions are not permissible.
3.3.7.7,"The user interface of the applications shall be designed in accordance with ergonomic principles and the current state of technology for such a system. For this purpose, the following must be fulfilled: - clearly structured contents, reduced number of windows, - continuous display and color concept (same items and functionalities are displayed in the same way in different windows), - expressive captions of fields, keys, command buttons, column headers, etc. - no overload by e.g. overlapping windows"
3.3.7.8,The basic functionalities (at least NG-911 call- taking and incident creation) of the operations control system shall also be able to be operated by persons who are not on duty regularly.
3.3.7.9,"The software user computerized workstation interface design shall be consistent with Microsoft Fluent Design System, ISO 9241 or other similar recommendations."
3.3.7.10,The applications shall have the possibility to print out the information from the screen to a configured printer.
3.3.9.4,The entire system must operate non-stop under typical climatic conditions (ambient temperature range from 10degC up to 35degC and humidity range from 20% to 80%).
3.3.9.5,"The individual PSO will each operate their own environment (locations), which will be a standard office setup without special IT conditions (e.g. No Air Conditioning, or Filter of Air), the system shall support that operations mode."
3.3.10.1,"The service of the whole system shall be available 24/7 without any interruption. The availability requirement from total system point of view, shall be at least 99.99%. This requirement is to be interpreted as follows: The probability of total system break down due to any failure/error of any system components must not be more than 0.01%, i.e. the cumulative down time of the total system due to failure must not exceed 52 minutes in a year."
3.3.10.2,All system critical components shall provide high availability by implementing the components as a distributed system which shares the work load among the installed components. The system shall not contain standby components (either hot or cold) which need to be manually activated in case of failure of the primary system.
3.3.10.6,In case of system failures after updates or changes of the configuration it must be possible to restore the last tested and operational software version and configuration.
3.3.10.7,The system shall be configured that in case of a failure of a single component the alternate components- if available- takes over automatically without human intervention (automated failover).
3.3.10.8,All critical system components shall have a typical Mean Time Before Failure (MTBF) of at least 5 years. For components and parts which cannot fulfil this requirement individual redundancy has to be installed.
3.3.11.1,"IP Based Telephony exchange service (multimedia), CTI, ACD and IVR"
3.3.13.39,The SMTP relays must use security mechanisms like virus and malware detection to protect the system. The SMTP relay shall as well support SMTPS.
3.3.13.40,The SMTP relays must monitor and report any abnormality to the monitoring system.
3.3.13.41,"The SMTP relay shall support text for a standard format on mail (form generator) 3rd party systems, as of supporting multiple formats based on incident type. This shall be used for sending structured emails to external recipients (Police, EMS) where incident related data as well as an incident ID for further communication can be provided, filled and processed by the external system (Record Management)"
3.3.13.42,Forms/texts must be freely configurable by the administrator
3.3.13.43,The forms shall allow the setup as XML message according to a defined data model.
3.3.13.44,Detailed description on the forms will be set in the Detail design phase.
3.3.13.45,The system shall use of contact lists or individual email-addresses as part of the contact information for sending messages.
3.3.13.46,The system shall support acknowledgment of returning mails to an incident via
3.3.14.5,"All computers on all workplaces must be installed at least with an Operating System, Anti-Virus Software and PDF-Reader function."
3.3.14.6,"At the working positions UPS respective Generator supported power with 230V, 50Hz will be provided on Type C, respective Type H. At least 2 RJ45 outlets per working position must provide PoE (Power over Ethernet)."
3.3.14.7,"These computers must be powerful enough to provide instantaneous responsive user interfaces for all used client applications like NG-911, Incident Applications, GIS, CTI."
3.3.14.8,The desktop configuration of the operation system and the configuration of the applications at the client computers must be user/user-group based and not client based.
3.4.1.9,"All components must be prominently labelled with a unique ID, component type, MAC and IP addresses."
3.4.1.10,"In case of tangible elements, the ID has to be printed on the label in a human readable form and if requested as a machine-readable code."
3.4.1.11,All cables must be labelled on each end with the component and port it has to be connected to. Cables longer than 10m must be labelled with a unique ID every 5 meter.
3.4.1.12,"In case of system/version upgrades/updates, replacements, the update of the database shall be supported."
3.4.1.13,The access to this database must be protected by the authentication mechanisms.
3.4.1.38,The statistics should be retrievable both as PDF files as well as graphical and text files and e.g. also be able to be shown continuously on monitors of the visualization system.
3.4.1.39,The Bidder must enclose a Concept - Voice Communication Statistics with his offer. The concept shall list the available Voice Communication statistics and include exemplary screenshots.
3.4.1.40,"An intelligent reporting system has to be included in the offer, translating the results of the monitoring and alarm and fault handling functions into well-structured reports."
3.4.1.41,Different levels of report shall be able to define and presented both in a pre-set
3.4.2.15,"The software must be protected against: - unauthenticated access; - unauthorized user session interception; - unauthorized interception or insertion, - modification or deleting of data"
3.4.2.16,"Depending on the architecture, the Bidder must provide the required number of certificates that will be used to encrypt the information transmitted / received by all users;"
3.4.2.17,"The certificate used for encryption must be verified by a qualified certificate (such as Veri Sign or similar) that can be automatically checked by popular web browsers, meaning that the workplace user does not need to independently add the certificate to the trusted certificate store of the browser or operating system."
3.4.2.18,"The system has to log any attempts of downloading, saving, exporting, forwarding, printing of any data/information/communication linked to natural persons onto uncontrolled external devices (e.g. USB drives, CD, device not part of the system delivered, addresses etc.)"
3.4.2.29,"The system has to log any attempts of downloading, saving, exporting, forwarding, printing of any data/information/communication linked to natural persons onto uncontrolled external devices (e.g. USB drives, CD, device not part of the system delivered, addresses etc.)"
3.4.2.30,"The system has to assure, that for testing, fault handling and training purposes only de- personalized data could be used. If - in exceptional cases - this cannot be assured (like fault tracing in special cases), the system shall present a logged warning message."
3.4.2.31,The system shall support the identification and tracking of any (personal) data incidents.
4.4.2.1,"The Bidder shall include in his Offer a Call taker / Specialist training program. The Call taker / Specialist training shall be organized on a ?train the trainers? basis. The training to be provided directly by the Supplier shall theoretically and practically prepare the participants to use the call taking, incident creation and incident management functions according to the processes defined and programmed in the implementation phase. * Indicative number of participants: at least 20 (call taker) + 10 (specialist) persons, organized in effective groups. * At least 5 persons from the most successful trainees has to get an additional training to get key users and trainers of next training groups. * Language of the training shall be Arabian. However, parts of the training dealing with the screens and questionnaires in English language shall be organized for the specific group of English speaking trainees."
4.4.2.2,"The Bidder shall include in his Offer a Coordinator training program. The Coordinator training shall be organized on a ?train the trainers? basis. The training to be provided directly by the Supplier shall theoretically and practically prepare the participants to understand and process the incidents delivered by the system as well as using the system functions relevant for the management and handling the incidents in their specific organization. * Trainings shall be organized on a User organization basis, taking into consideration the specificities of the different PSOs. * Indicative number of participants: 20 persons, organized in effective groups * At least 2 persons of the most successful trainees from each User organizations have to get an additional training to get key users and trainers of next training groups. * Language of the training shall be Arabic."
4.4.3.1,"The Bidder shall include in his Offer an Administrator training program. The training to be provided directly by the Supplier shall theoretically and practically prepare the participants to use the system?s administrative, statistical, reporting and BI functions as well as process/workflow definition function of the system. * Indicative number of participants: up-to 6 persons * Language of the training shall be Arabian"
4.4.3.2,"The Bidder shall include in his Offer a System administrator / Engineer training program. The training to be provided directly by the Supplier shall theoretically and practically prepare the participants to monitor, operate, maintain and administer the system and to provide help-desk and user support services. * A basic system training - prior to the factory acceptance tests - shall be included. * Indicative number of participants: up to 8 persons have to be trained to System administrator level. * At least 3 from the most successful trainees have to be further educated to reach system engineer level. Language of the training shall be English and/or Arabian."
4.4.4.1,The Bidder shall include in his Offer a Management training program. The Management training shall provide a basic system knowledge to the leaders of the Beneficiary and User organizations directly not involved in the daily operation of the system but leading the users of the system. * Indicative number of participants: up-to 16 persons. * Language of the training shall be Arabian
4.5.1.1,"Provide data conversion and importing of customer provided files (xls, doc,.shp.) for at least but not limited to: * Users * Phonebook * POI * Measures * Types of incidents * Questions and Answers * Resources * Mapping details"
4.6.1.1,"The Supplier shall prepare and submit the following design documents before starting the delivery and installation: * High Level Design (HLD) - it shall be submitted latest 30 days after project commencement * Detailed System Design (DSD) - it shall be submitted latest 60 days after approval of HLD * Test design - it shall be submitted min. 30 days prior to the specific test starts * Design of migration, commissioning and operational launch - it shall be submitted latest 60 days after approval of DSD."
4.6.1.2,All these designs must be submitted to the contracting authority/consultant/beneficiary for review in electronic format. The review period of the documents shall not exceed 15 calendar days. Within this period the contracting authority shall send in writing its comments and shall set the deadline for making the required corrections. The updated design documents shall be considered final subject to contracting authority?s approval and consultant?s/beneficiary's agreement
4.6.1.3,Final approved design documents shall be re- submitted in electronic format to the contracting authority/consultant/beneficiary and one printed version to the contracting authority.
4.6.1.4,"Weekly progress reports (in electronic format) to the contracting authority, beneficiary and consultant, to be delivered from the 5th week of the implementation period until the end of the implementation period (describing the progress vs plan in the field of design, production, delivery, installation/construction, testing, fixing issues found during inspections, plans for the next week(s), problems, requests for help). The weekly reports shall be the basis of the regular weekly operative meeting of the Supplier, beneficiary and consultant, and shall be accepted by the contracting authority"
4.6.1.5,"Monthly progress summary to the contracting authority, beneficiary and consultant with the same content requirements as the weekly reports. The monthly progress summary shall be the basis of the regular monthly progress meeting of the contracting authority, Supplier, beneficiary and consultant, and shall be accepted by the contracting authority"
4.6.1.6,"The Supplier shall present Final System Documentation that includes all modifications of documentation provided during the contract execution minimum 10 days before provisional acceptance procedure commencement. Final System Documentation shall contain at least: a) A list of all licenses and the license certificates b) The HLD and DSD documents, updated with all changes during the implementation phase c) A complete inventory of all hardware and software components (as specified under item 5 of the technical specifications), including a complete list of equipment per site and updated list of equipment/devices necessary for the system operation - provided by the Beneficiary before project implementation. It shall include name, type, quantity and serial number(s). d) COTS component documentations e) Proposed system level inputs to DRP and BCP f) Description of all external interfaces of the system. g) Documentation related to all software included with the system, with clear identification on versions h) All test reports as well as certificates and compliance statements by the manufacturers and Supplier. i) All change requests scheduled for a later date than Provisional Acceptance j) Detailed description and user manual for the process (incl. questionnaire and template) development, testing and migration environment k) Detailed description and user manual of the BI and workflow engine functions l) All user documents, manuals, O/M/A guides m) Full training documents (presentations, narrative and CD/DVDs) for all of the training programs. n) List of proposed spare units o) Draft SLA for the Warranty period p) Proposed SLA/System support agreement for the period after the Warranty period"
4.7.1.1,Project Team Leader: must have experience as project manager on at least one similar type emergency response center project (multi agency / multi locations).
5.0.1.1,"Graphical user interfaces in Arabian and English languages, designed, delivered, installed, integrated, tested and commissioned"
5.0.1.2,"Support characters, base import but must be Arabic (ISO 8859- 6) and English (ISO 8859-1) and at least for administrative issues in English. Output must be primary in Arabic"
5.0.2.1,"All active (powered) equipment must operate on 220-240V, 50Hz"
5.0.2.2,"All active equipment must include power plugs standard in the State of Palestine (Type C, respective Type H)"
5.0.2.3,All server connecting cables must be provided according IEC 60320 C13/14 respective C15 /C16
5.0.3.1,"Unless otherwise specified, all equipment must operate in environments of 10degC up to 35degC"
5.0.3.2,"Unless otherwise specified, all equipment must operate in environments 0- 40 grams per cubic meter of dust"
5.0.3.3,"Unless otherwise specified, all equipment must operate in environment humidity range from 20% to 80%"
5.0.4.1,Noise emission for the equipment outside the server areas shall be maximal 30 dB during normal operation
5.1.1.1,Computing Hardware Specifications
6.2.1.1,"The Bidder shall assure and clearly state that his planned test activity will cover the complete scope of this supply and will assure the functional, technical and operational compliance of the system to be delivered. In order to demonstrate this the Bidders are requested to describe in their Offer the proposed * the proposed high-level commissioning procedure * high level test program, including (but not limited to): o Factory test o On-site developers? tests o Functional, performance, interoperability and system management tests o User tests o Trial Operation * the proposed duration and timing of the test phases * the proposed involvement of the Beneficiary, User organizations and Consultant * the proposed mode of test management, RR and CR handling."
6.2.1.2,"The proposed test methodology shall be able to justify, that the system meets the availability, performance and traffic handling requirements. In order to demonstrate this the Bidders are requested to describe their test methodologies and testing tools."
7.3.1.5,Implementation / Delivery Expert with experience in the rollout of a multi agency / multi locations ERC software. The Supplier must provide certification from at least one customer of emergency services stating that the position has been performed successfully
7.3.1.6,"Service, Helpdesk and Warranty Expert, with experience in setup and operation of post operational acceptance assistance"
